Date,zone,centre,Price
06-01-93,1,HISAR,64
06-01-93,1,KARNAL,56
06-01-93,1,SHIMLA,63
06-01-93,1,MANDI,NA
06-01-93,1,SRINAGAR,NA
06-01-93,1,JAMMU,48
06-01-93,1,AMRITSAR,NA
06-01-93,1,LUDHIANA,NA
06-01-93,1,LUCKNOW,50
06-01-93,1,KANPUR,61
06-01-93,1,CHANDIGARH,56
06-01-93,1,DELHI,55
06-01-93,2,AHMEDABAD,75
06-01-93,2,RAJKOT,76
06-01-93,2,PANAJI,NA
06-01-93,2,BHOPAL,50
06-01-93,2,INDORE,60
06-01-93,2,MUMBAI,55
06-01-93,2,NAGPUR,62
06-01-93,2,JAIPUR,64
06-01-93,2,JODHPUR,65
06-01-93,3,GUWAHATI,40
06-01-93,3,PATNA,NA
06-01-93,3,SHILLONG,40
06-01-93,3,AIZAWL,NA
06-01-93,3,BHUBANESHWAR,60
06-01-93,3,CUTTACK,62.5
06-01-93,3,KOLKATA,50
06-01-93,3,AGARTALA,NA
06-01-93,4,HYDERABAD,48
06-01-93,4,VIJAYAWADA,46
06-01-93,4,BANGALORE,70
06-01-93,4,THIRUVANANTHAPURAM,63
06-01-93,4,ERNAKULAM,63
06-01-93,4,CHENNAI,85
06-01-93,4,MADURAI,84
06-01-93,4,PONDICHERRY,NA
13-01-93,1,HISAR,64
13-01-93,1,KARNAL,56
13-01-93,1,SHIMLA,63
13-01-93,1,MANDI,NA
13-01-93,1,SRINAGAR,NA
13-01-93,1,JAMMU,48
13-01-93,1,AMRITSAR,57
13-01-93,1,LUDHIANA,57
13-01-93,1,LUCKNOW,55
13-01-93,1,KANPUR,61
13-01-93,1,CHANDIGARH,52
13-01-93,1,DELHI,55
13-01-93,2,AHMEDABAD,NA
13-01-93,2,RAJKOT,NA
13-01-93,2,PANAJI,NA
13-01-93,2,BHOPAL,50
13-01-93,2,INDORE,60
13-01-93,2,MUMBAI,NA
13-01-93,2,NAGPUR,62
13-01-93,2,JAIPUR,63
13-01-93,2,JODHPUR,65
13-01-93,3,GUWAHATI,40
13-01-93,3,PATNA,NA
13-01-93,3,SHILLONG,NA
13-01-93,3,AIZAWL,NA
13-01-93,3,BHUBANESHWAR,60
13-01-93,3,CUTTACK,62.5
13-01-93,3,KOLKATA,50
13-01-93,3,AGARTALA,NA
13-01-93,4,HYDERABAD,40
13-01-93,4,VIJAYAWADA,46
13-01-93,4,BANGALORE,NA
13-01-93,4,THIRUVANANTHAPURAM,63
13-01-93,4,ERNAKULAM,63
13-01-93,4,CHENNAI,85
13-01-93,4,MADURAI,84
13-01-93,4,PONDICHERRY,85
20-01-93,1,HISAR,64
20-01-93,1,KARNAL,56
20-01-93,1,SHIMLA,63
20-01-93,1,MANDI,66
